data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
2026-04-24 21:17:41,Duduzin;),#89U2YVLY,15,12059,BRZ Esports,victory,1,0,+0.12,Ramp Up Battle,specialEvent,Legendary Arena,Evolved Goblin Giant | Archer Queen | Evolved Skeletons | Royal Hogs | Electro Giant | Barbarian Barrel | Poison | Graveyard,Evolved Firecracker | The Log | Evolved P.E.K.K.A | Tesla | Hog Rider | Fireball | Ice Spirit | Ice Golem,1
2026-04-27 23:34:35,WANTED,#Y980J8Q0,15,0,Bionic chronicles,victory,3,1,0.00,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Royal Hogs | Archer Queen | Evolved Goblin Cage | Giant Skeleton | The Log | Fire Spirit | Royal Delivery | Earthquake,1
2026-04-27 23:42:31,ING,#2YC9Y8LJ,15,0,Nikemania,victory,1,0,+0.12,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Goblin Gang | Little Prince | Evolved Skeleton King | The Log | Dart Goblin | Ice Spirit | Cannon | Princess,1
2026-04-28 01:19:40,cplemons,#RVVPG2RUU,15,12822,No Clan,victory,2,0,+26,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Knight | Sparky | Evolved Tesla | Cannon | Rage | Fireball | Elite Barbarians | Skeletons,1
2026-04-28 01:25:00,EDWIN^_^,#92G8VV82R,11,0,No Clan,victory,1,0,0.00,Take To The Skies,Special Event,Event Arena,Skeleton Dragons | Arrows | Lightning | Evolved Minions | Lava Hound | Minions | Phoenix | Flying Machine,Inferno Dragon | Mega Minion | Bats | Balloon | Evolved Baby Dragon | Rocket | Void | Electro Dragon,1
2026-04-28 12:58:08,규빈,#VRJ0UUGUR,16,12895,Team Korea No.1,victory,1,0,+30,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeleton Barrel | Mighty Miner | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Goblin Giant | Golden Knight | Evolved Royal Recruits | Flying Machine | Fireball | Zappies | Arrows | Royal Hogs,1
2026-04-28 13:38:38,Luiz03br mp,#JLJ8YV99,15,12929,BRASIL WAR,defeat,0,3,-28,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Firecracker | Goblin Gang | Evolved Valkyrie | Hog Rider | Inferno Tower | Goblin Barrel | The Log | Electro Wizard,1
2026-04-28 14:22:52,optimus270308,#Y0CUGG80P,15,12890,Unit 4,victory,2,1,+30,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Ice Wizard | Golden Knight | Evolved Valkyrie | Tornado | Balloon | Tesla | Bats | Arrows,1
2026-04-28 21:23:18,VINI✨鬼滅,#2JP8VQVC2,11,0,No Clan,defeat,0,1,0.00,1v1 Showdown,friendly,Legendary Arena,Evolved Royal Hogs | Golden Knight | Evolved Tesla | Dark Prince | Skeletons | The Log | Lightning | Electro Spirit,Evolved Skeletons | Battle Healer | Evolved Mortar | Knight | Barbarian Barrel | Skeletons | Minions | Fireball,1
2026-04-28 21:36:23,Chagus21,#YYJRYGJRY,16,12892,Clan Arg,victory,1,0,+27,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Mother Witch | Little Prince | Evolved Firecracker | The Log | Zappies | Skeleton Barrel | Mighty Miner | Tombstone,1
2026-04-28 21:48:05,daniel_wrld08,#9QV0URJJG,16,12951,Guanacaste C.R,defeat,1,2,-29,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Mega Knight | Little Prince | Evolved Dart Goblin | Miner | Bats | Skeleton Barrel | Goblin Gang | Zap,1
2026-04-28 21:52:40,とうもひと,#9UPPJ9J29,15,12895,革命会,victory,1,0,+28,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeleton Barrel | Mighty Miner | Dart Goblin | Lightning | Minions | Goblin Gang,Royal Ghost | Golden Knight | Battle Ram | P.E.K.K.A | Electro Wizard | Bandit | Fireball | Zap,1
2026-04-28 22:58:58,Boruto Uzumaki,#2YL98GC8R,11,0,No Clan,defeat,0,1,0.00,1v1 Showdown,friendly,Legendary Arena,Evolved Royal Hogs | Golden Knight | Evolved Tesla | Dark Prince | Skeletons | The Log | Lightning | Electro Spirit,Evolved Furnace | Little Prince | Evolved Cannon | Electro Spirit | Hog Rider | Lightning | Giant Skeleton | The Log,1
